,,,The datasets at the top of tower,,,,,,,,,,,The profile of the data from sonic anemometers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The profile of air temperature,,,,,,,,,,,,The profile of humidity,,,,,,,,,,
,232,9,714.1 ,84.6 ,464.1 ,532.1 ,3.0931,30.312,16.503,173.33,152.25,-0.44625,,3.0931,2.6382,2.2397,1.4681,30.312,30.143,29.177,31.318,-0.16076,-0.20993,-0.18528,-0.29129,1.31,1.2751,1.2762,1.1068,1.3052,1.2452,1.1098,0.91517,0.57204,0.55112,0.58031,0.58729,0.14183,0.15538,0.20584,0.2072,0.043648,0.030152,,-6999,31.96666667,31.87,-6999,31.63,-6999,31.11166667,30.88,-6999,-6999,-6999,,26.19392857,25.48035714,25.21892857,25.07928571,24.95071429,24.7675,24.64,24.50642857,24.40785714,24.30321429,24.23285714
,232,10,829.2 ,91.4 ,470.7 ,545.0 ,4.8396,30.873,16.843,222.35,193.82,-0.14767,,4.8396,4.0473,3.2029,1.9951,30.873,30.75,29.91,32.16,-0.39622,-0.37823,-0.3311,-0.4504,1.5039,1.5469,1.5837,1.436,1.4998,1.4483,1.3228,1.0857,0.73257,0.69652,0.76013,0.76336,0.18194,0.17733,0.23783,0.29799,0.055269,0.034958,,-6999,33.13666667,33.045,-6999,32.58666667,-6999,31.91833333,31.59833333,-6999,-6999,-6999,,26.60321429,25.8,25.58214286,25.48357143,25.27285714,25.03571429,24.83321429,24.73571429,24.57821429,24.52714286,24.48071429
,232,11,883.1 ,97.2 ,470.9 ,554.1 ,6.2076,31.193,16.003,261.37,180.02,-0.11447,,6.2076,5.0718,3.9364,2.451,31.193,31.112,30.348,32.577,-0.52261,-0.58669,-0.50118,-0.63292,1.8774,1.9232,1.8779,1.7057,1.8589,1.7251,1.5257,1.2775,0.7854,0.81035,0.89574,0.88777,0.21387,0.21327,0.26179,0.32652,0.04953,0.031534,,-6999,33.73,33.56666667,-6999,33.13333333,-6999,32.51833333,32.185,-6999,-6999,-6999,,25.67892857,24.84607143,24.66464286,24.4125,24.21392857,23.99607143,23.80642857,23.64107143,23.51785714,23.38964286,23.32678571
,232,12,873.7 ,98.8 ,473.0 ,559.6 ,6.4569,31.604,15.987,313.81,245.44,-0.11041,,6.4569,5.4624,4.4756,2.7898,31.604,31.509,30.785,33.027,-0.60419,-0.56992,-0.55268,-0.75102,1.9398,1.9168,1.8867,1.812,1.6887,1.5801,1.4964,1.3254,0.82844,0.81794,0.9128,0.93628,0.25677,0.23668,0.31291,0.35324,0.069393,0.035741,,-6999,34.28166667,34.19666667,-6999,33.64333333,-6999,32.97333333,32.605,-6999,-6999,-6999,,25.65535714,24.87357143,24.57142857,24.44107143,24.29428571,24.07607143,23.88035714,23.79571429,23.67071429,23.64964286,23.69642857
,232,13,795.1 ,98.0 ,464.5 ,553.5 ,7.7394,31.227,16.564,274.52,193.47,-0.082692,,7.7394,6.3921,4.9735,3.1117,31.227,31.135,30.32,32.516,-0.67068,-0.74326,-0.70047,-0.86197,2.072,2.1762,2.2057,2.0474,2.0035,1.8584,1.6789,1.4283,0.95465,0.96669,1.079,1.0512,0.22463,0.21601,0.29613,0.34446,0.053035,0.027851,,-6999,33.75833333,33.68,-6999,33.02166667,-6999,32.42333333,32.08,-6999,-6999,-6999,,26.60857143,25.83928571,25.60642857,25.41571429,25.27214286,25.14214286,25.04214286,24.93142857,24.8225,24.73714286,24.7375
,232,14,678.6 ,89.3 ,458.8 ,546.8 ,7.7513,31.192,16.907,274.45,215.1,-0.047501,,7.7513,6.0372,4.417,2.6967,31.192,31.108,30.248,32.36,-0.97045,-1.1676,-0.83371,-0.81303,2.3238,2.5278,2.4949,2.1107,1.9543,1.7941,1.5912,1.3787,1.0133,1.0278,1.0914,1.014,0.22457,0.2384,0.2777,0.31269,0.060043,0.04465,,-6999,33.44,33.40666667,-6999,32.78666667,-6999,32.25333333,31.91833333,-6999,-6999,-6999,,27.22428571,26.62142857,26.42035714,26.24214286,26.11535714,25.99642857,25.85642857,25.76571429,25.62714286,25.56857143,25.53214286
,232,15,476.6 ,69.1 ,449.1 ,533.0 ,7.6277,30.954,17.156,193.85,162.37,-0.064796,,7.6277,6.3021,4.9629,3.141,30.954,30.868,29.832,31.89,-0.6261,-0.7275,-0.69084,-0.88002,2.1396,2.2267,2.2671,2.0644,1.8184,1.7766,1.6147,1.4082,0.93551,0.92019,1.0669,1.0557,0.15861,0.15407,0.22265,0.25567,0.045771,0.027367,,-6999,32.78666667,32.70833333,-6999,32.20833333,-6999,31.71833333,31.45,-6999,-6999,-6999,,27.43035714,26.91928571,26.815,26.68892857,26.60357143,26.51035714,26.43392857,26.33285714,26.23321429,26.1525,26.14035714
,232,16,273.6 ,44.7 ,442.4 ,518.0 ,6.9427,30.653,16.698,132.81,131.32,-0.058412,,6.9427,5.7711,4.8746,3.1109,30.653,30.495,29.259,31.195,-0.52177,-0.57965,-0.60636,-0.7778,1.8998,1.8705,1.9021,1.9025,2.0756,1.9553,1.7376,1.4585,0.93023,0.91123,0.99805,0.99886,0.10867,0.10376,0.12956,0.14855,0.038312,0.022413,,-6999,31.72333333,31.73666667,-6999,31.44666667,-6999,31.095,30.92,-6999,-6999,-6999,,26.73107143,26.33607143,26.215,26.11571429,26.02892857,25.93285714,25.86464286,25.80535714,25.71714286,25.72714286,25.75607143
,232,17,92.3 ,17.0 ,433.4 ,504.7 ,6.8582,30.271,17.134,69.925,47.836,-0.035363,,6.8582,5.6644,4.767,3.0029,30.271,30.126,28.637,30.477,-0.47578,-0.51,-0.54144,-0.74303,2.0111,1.9073,1.9193,1.8418,1.5416,1.5163,1.4644,1.3562,0.8383,0.83053,0.9315,0.95659,0.057216,0.052465,0.067833,0.08465,0.012891,0.0045683,,-6999,30.57833333,30.6,-6999,30.49,-6999,30.275,30.185,-6999,-6999,-6999,,27.12214286,26.89357143,26.82428571,26.77178571,26.7175,26.67071429,26.63428571,26.58964286,26.51785714,26.47928571,26.48535714
,232,18,6.8 ,1.9 ,425.9 ,493.1 ,6.6506,29.713,17.739,30.451,17.186,-0.022726,,6.6506,5.5683,4.681,3.0846,29.713,29.57,27.862,29.612,-0.36751,-0.44365,-0.542,-0.62275,1.8873,1.8323,1.8399,1.7702,1.3831,1.3756,1.3299,1.2277,0.78827,0.79116,0.87526,0.9001,0.024917,0.018295,0.027641,0.036236,0.0043271,0.00027989,,-6999,29.53166667,29.465,-6999,29.43666667,-6999,29.33166667,29.30333333,-6999,-6999,-6999,,27.865,27.75892857,27.73464286,27.69464286,27.65107143,27.62142857,27.60357143,27.575,27.52678571,27.50785714,27.52785714
,232,19,0.0 ,-0.1 ,423.7 ,487.8 ,6.6558,29.293,17.703,15.638,24.092,-0.010107,,6.6558,5.5153,4.6602,2.9811,29.293,29.153,27.373,29.08,-0.40488,-0.43978,-0.45466,-0.64433,1.7596,1.7244,1.7106,1.7248,1.3673,1.3856,1.3515,1.245,0.80849,0.79242,0.86831,0.88489,0.012796,0.0066749,0.012364,0.018336,0.0073632,0.005057,,-6999,28.93166667,28.88833333,-6999,28.88166667,-6999,28.815,28.81,-6999,-6999,-6999,,27.99107143,27.88607143,27.84785714,27.80428571,27.77357143,27.74964286,27.745,27.71357143,27.66142857,27.635,27.6675
,232,20,0.0 ,-0.1 ,422.6 ,484.8 ,5.7021,29.124,17.449,10.338,35.786,-0.0058055,,5.7021,4.7841,4.0713,2.6118,29.124,28.966,27.154,28.845,-0.4448,-0.40491,-0.41614,-0.53921,1.7037,1.6595,1.6591,1.6025,1.2536,1.2701,1.1977,1.0988,0.76169,0.72567,0.76858,0.79947,0.0084587,0.0032017,0.0033274,0.0061017,0.011566,0.0081025,,-6999,28.67333333,28.64666667,-6999,28.65166667,-6999,28.61333333,28.61666667,-6999,-6999,-6999,,27.525,27.43285714,27.40035714,27.36428571,27.34321429,27.31821429,27.32142857,27.29142857,27.25857143,27.23678571,27.25892857
,232,21,0.0 ,0.0 ,421.0 ,481.8 ,6.0086,28.795,17.4,8.0339,10.724,-0.0064138,,6.0086,4.9571,4.1431,2.6686,28.795,28.638,26.791,28.473,-0.35207,-0.41681,-0.39128,-0.4831,1.5797,1.5519,1.5948,1.5538,1.1461,1.1828,1.2073,1.1124,0.72942,0.74234,0.78592,0.77986,0.0065737,0.0014447,0.00038826,0.004043,0.0032338,0.0031551,,-6999,28.31166667,28.28333333,-6999,28.28333333,-6999,28.255,28.26,-6999,-6999,-6999,,27.445,27.33571429,27.30964286,27.27642857,27.24571429,27.21678571,27.22071429,27.19035714,27.14857143,27.12714286,27.14892857
,232,22,0.0 ,-0.2 ,420.0 ,479.2 ,4.7283,28.599,17.85,3.3645,8.0181,-0.0050015,,4.7283,3.8827,3.2605,2.092,28.599,28.423,26.547,28.215,-0.23272,-0.2898,-0.30821,-0.3935,1.3322,1.3086,1.3241,1.3019,1.0164,1.074,1.1033,0.97051,0.63157,0.62556,0.67064,0.65847,0.002753,-0.00041488,-0.0015637,-0.0036474,0.0025364,0.0014038,,-6999,27.93833333,27.92166667,-6999,27.94333333,-6999,27.92833333,27.93833333,-6999,-6999,-6999,,28.12571429,28.03607143,28.00857143,27.96892857,27.94928571,27.93357143,27.94035714,27.91035714,27.8625,27.8375,27.87071429
,232,23,0.0 ,-0.1 ,419.2 ,477.2 ,5.0197,28.399,17.776,1.9263,8.8766,-0.003147,,5.0197,4.2097,3.5405,2.2549,28.399,28.218,26.319,27.983,-0.21862,-0.24963,-0.29943,-0.38377,1.2881,1.2861,1.3297,1.3161,1.0129,1.0398,1.051,0.98183,0.60496,0.6084,0.65012,0.67182,0.0015762,-0.001362,-0.00051486,-0.0056265,0.0028957,0.0026072,,-6999,27.745,27.72166667,-6999,27.73,-6999,27.71333333,27.725,-6999,-6999,-6999,,27.97678571,27.88214286,27.8625,27.82714286,27.80071429,27.78107143,27.78857143,27.75928571,27.70857143,27.68821429,27.71928571
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,244,0,0.9 ,0.0 ,395.3 ,449.4 ,1.1218,24.902,15.818,-2.2436,11.115,0.037773,,1.1218,0.96765,0.80618,0.53006,24.902,24.633,22.385,23.978,-0.046525,-0.036685,-0.035274,-0.039695,0.45464,0.42365,0.51336,0.47668,0.32979,0.32554,0.37537,0.32857,0.22069,0.20686,0.18805,0.17707,-0.0018358,-0.0025152,-0.0043668,-0.0075371,0.003851,0.0027015,,23.515,23.89166667,23.97166667,23.99333333,24.04,24.03,24.06666667,24.07666667,24.035,23.995,23.94,,25.40642857,25.23392857,25.2175,25.16964286,25.17285714,25.14071429,25.15571429,25.11,25.01964286,24.9875,25.19107143
,244,1,0.5 ,-0.3 ,393.4 ,447.6 ,1.6669,24.693,15.144,-1.6293,2.7041,0.70241,,1.6669,1.4247,1.1633,0.81743,24.693,24.386,22.118,23.7,-0.005358,-0.0058596,-0.0032733,-0.006904,0.38069,0.35578,0.3546,0.29481,0.36509,0.3221,0.31902,0.26857,0.10996,0.11788,0.12476,0.13132,-0.0013332,-0.0018097,-0.0021005,-0.0023575,0.0009819,0.00084151,,23.30333333,23.665,23.755,23.78666667,23.835,23.82833333,23.87166667,23.89666667,23.88,23.855,23.8,,24.765,24.4975,24.585,24.39107143,24.36392857,24.31642857,24.30428571,24.23642857,24.10107143,24.03285714,24.18357143
,244,2,0.6 ,-0.1 ,389.8 ,444.6 ,1.8704,24.25,14.627,-2.455,0.52381,1.1551,,1.8704,1.5763,1.2444,0.85032,24.25,23.93,21.596,23.156,-0.0050596,-0.011488,-0.0096548,-0.010475,0.32502,0.32525,0.33455,0.29086,0.36636,0.34174,0.41702,0.32683,0.13543,0.13962,0.1444,0.14491,-0.0020088,-0.0028516,-0.0035019,-0.0047389,0.00027601,0.00014961,,22.96,23.21,23.285,23.30666667,23.35666667,23.36166667,23.42,23.44833333,23.44333333,23.43166667,23.38333333,,23.67928571,23.41285714,23.38857143,23.33357143,23.32214286,23.29285714,23.29392857,23.25178571,23.1725,23.12357143,23.28214286
,244,3,0.1 ,-0.4 ,400.0 ,445.2 ,2.2524,24.205,14.806,-4.7024,1.4401,0.1982,,2.2524,1.8109,1.3441,0.81584,24.205,23.91,21.589,23.169,-0.025274,-0.0331,-0.050522,-0.044172,0.54844,0.5343,0.57921,0.51363,0.44041,0.44053,0.44789,0.40045,0.25238,0.22891,0.23963,0.24475,-0.0038477,-0.004948,-0.0047612,-0.0063644,0.00067865,0.00048191,,23.11166667,23.29166667,23.32666667,23.32,23.35166667,23.34,23.385,23.41833333,23.40833333,23.38666667,23.34,,23.95357143,23.69821429,23.67714286,23.62714286,23.62607143,23.60535714,23.60964286,23.56071429,23.47071429,23.43678571,23.60321429
,244,4,0.3 ,-0.1 ,397.6 ,444.8 ,2.6438,24.046,14.727,-3.2207,3.1479,0.079829,,2.6438,2.165,1.6085,1.0295,24.046,23.785,21.483,23.108,-0.03602,-0.054338,-0.07208,-0.068813,0.61581,0.62502,0.68928,0.57765,0.49226,0.50891,0.55329,0.51895,0.31828,0.30922,0.3157,0.31629,-0.0026354,-0.0038053,-0.0032681,-0.0068284,0.0011954,0.0013263,,23.2,23.30666667,23.31666667,23.30166667,23.32166667,23.295,23.31333333,23.31666667,23.28166667,23.24666667,23.19166667,,23.72892857,23.54428571,23.54,23.4975,24.20785714,23.47178571,23.48142857,23.43571429,23.34607143,23.30785714,23.47857143
,244,5,24.4 ,1.9 ,387.5 ,443.9 ,2.9013,23.645,14.428,-1.4838,6.5734,0.023405,,2.9013,2.3886,1.7846,1.1585,23.645,23.403,21.107,22.733,-0.048729,-0.063344,-0.098479,-0.094919,0.64726,0.67035,0.77424,0.69902,0.48976,0.51711,0.57844,0.56938,0.30537,0.31007,0.3389,0.32903,-0.0012141,-0.0026613,-0.0018679,-0.005586,0.0022836,0.0017576,,22.94,23.03333333,23.02166667,22.99833333,23.00666667,22.98833333,22.99666667,22.98333333,22.93833333,22.89833333,22.84,,23.30607143,23.12178571,23.11607143,23.07035714,23.06214286,23.04857143,23.05607143,23.00642857,22.9175,22.8825,23.0625
,244,6,157.4 ,14.3 ,400.0 ,453.4 ,2.0397,23.898,14.066,12.776,19.587,-0.21356,,2.0397,1.7793,1.4458,0.97757,23.898,23.639,21.553,23.191,-0.046853,-0.05637,-0.067834,-0.043514,0.54484,0.54767,0.57992,0.51165,0.56017,0.59272,0.6053,0.53291,0.29943,0.29175,0.28997,0.27361,0.010454,0.011253,0.013451,0.0077642,0.0061373,0.0050247,,23.495,23.605,23.61166667,23.645,23.57833333,23.56333333,23.55833333,23.50166667,23.45,23.42,23.315,,22.72821429,22.62785714,22.61464286,22.55321429,22.50821429,22.48,22.465,22.40214286,22.29642857,22.23964286,21.90535714
,244,7,352.7 ,37.5 ,412.3 ,468.7 ,1.7583,24.568,13.984,78.41,87.776,-0.48222,,1.7583,1.5487,1.2694,0.90294,24.568,24.313,22.488,24.2,-0.091116,-0.088544,-0.086606,-0.06104,0.59479,0.59154,0.60022,0.55316,0.51158,0.56005,0.72833,0.66484,0.40405,0.36523,0.3411,0.31186,0.064159,0.060124,0.075045,0.055572,0.026712,0.020033,,24.64,24.85,24.83333333,24.89333333,24.825,24.78333333,24.655,24.57833333,24.42,24.39,24.19333333,,22.64857143,22.40571429,22.36821429,22.28607143,22.26464286,22.24535714,22.23964286,22.18535714,22.08571429,22.00321429,22.065
,244,8,531.2 ,61.3 ,426.4 ,489.9 ,0.86416,25.897,14.301,86.073,55.489,-0.000020582,,0.86416,0.85693,0.66912,0.51947,25.897,25.533,24.034,25.733,0.014727,0.0002363,-0.014052,-0.005556,0.51445,0.53552,0.59892,0.61227,0.50263,0.49442,0.48525,0.4592,0.38322,0.36735,0.3071,0.25477,0.070428,0.073579,0.09427,0.068089,0.015414,0.015922,,26.47,26.705,26.46666667,26.635,26.51833333,26.45333333,26.29333333,26.18,26.16833333,26.13333333,25.88833333,,22.99148148,22.35777778,22.39814815,22.37259259,22.35851852,22.28555556,21.70514286,22.23285714,22.16892857,22.13,22.16214286
,244,9,652.7 ,77.1 ,436.5 ,506.6 ,0.82544,27.245,13.939,164.53,128.85,-0.43863,,0.82544,0.5757,0.39254,0.20182,27.245,26.967,25.784,27.668,-0.15813,-0.19345,-0.1275,-0.12261,1.0074,0.94573,0.80067,0.63579,0.89752,0.87498,0.80839,0.64442,0.51142,0.45606,0.40439,0.42019,0.13463,0.12648,0.1421,0.12182,0.037391,0.032838,,28.88333333,28.585,28.43,28.48666667,28.40666667,28.335,28.06833333,27.89333333,27.84333333,27.645,27.69166667,,21.74074074,21.04925926,20.78925926,21.00444444,21.68035714,21.55142857,21.34035714,21.32892857,20.59032143,19.99214286,20.12285714
,244,10,716.1 ,83.8 ,442.8 ,517.7 ,2.865,27.809,13.945,178.82,121.97,-6.2439,,2.865,2.4817,1.3829,0.52831,27.809,27.678,26.748,28.722,-0.028423,-0.14504,-0.24661,-0.1772,1.125,1.2372,1.1086,0.62971,0.94436,0.84374,0.74,0.65905,0.57225,0.52353,0.56648,0.58824,0.14632,0.16009,0.1938,0.17022,0.034527,0.018315,,29.915,29.48166667,29.42166667,29.44,29.41,29.39333333,29.07,28.83833333,28.46833333,28.19333333,28.52833333,,22.37392857,21.72357143,21.70321429,21.59821429,21.59178571,21.53785714,21.40357143,21.32214286,21.16392857,21.05821429,21.11678571
,244,11,804.6 ,91.8 ,448.7 ,531.6 ,3.1206,28.284,12.719,206.64,179.88,-1.3947,,3.1206,2.6882,1.5246,0.6626,28.284,28.166,27.357,29.36,-0.084933,-0.20399,-0.35196,-0.25888,1.1612,1.3335,1.2167,0.77099,0.99448,0.90454,0.80898,0.72296,0.62774,0.5494,0.61625,0.61723,0.16908,0.18733,0.23126,0.18497,0.053901,0.028831,,30.90666667,30.31166667,30.23666667,30.22333333,30.195,30.17333333,29.855,29.67,29.245,28.91833333,29.29333333,,20.92892857,20.14035714,20.01928571,19.9475,19.8675,19.81821429,19.66571429,19.51857143,19.3375,19.26321429,19.24535714
,244,12,799.8 ,94.5 ,447.7 ,537.9 ,3.4932,28.588,12.439,188.49,145.94,-1.5799,,3.4932,2.978,1.7086,0.68236,28.588,28.446,27.696,29.742,-0.073462,-0.2062,-0.39517,-0.2392,1.1465,1.3978,1.2753,0.77199,1.1965,1.0663,0.88118,0.81528,0.61415,0.56244,0.6467,0.64158,0.15423,0.1855,0.23857,0.16734,0.043184,0.019925,,31.27166667,30.70833333,30.67833333,30.64833333,30.60333333,30.57166667,30.25,30.04666667,29.59,29.30333333,29.535,,20.49857143,19.71571429,19.60285714,19.5175,19.46892857,19.38928571,19.29892857,19.5725,19.01535714,18.89821429,18.7675
,244,13,714.7 ,90.1 ,448.1 ,539.4 ,3.6192,29.289,12.541,187.81,108.09,-1.7728,,3.6192,2.999,1.6008,0.61254,29.289,29.171,28.458,30.494,-0.067763,-0.21937,-0.38038,-0.26661,1.1091,1.3141,1.231,0.69787,1.3586,1.135,0.91872,0.82018,0.62181,0.5666,0.67551,0.71346,0.15368,0.1776,0.2403,0.19648,0.030315,0.012281,,31.185,31.325,31.39166667,31.345,31.27833333,31.245,31.055,30.835,30.35,30.085,30.29333333,,20.31,19.64285714,19.66642857,19.63035714,19.55321429,19.46,19.37464286,19.28107143,19.1075,18.9925,18.99142857
,244,14,567.0 ,76.6 ,449.1 ,533.7 ,2.9536,29.764,13.407,156.19,134.43,-2.3072,,2.9536,2.4023,1.269,0.52978,29.764,29.585,28.793,30.765,-0.050221,-0.1498,-0.27322,-0.19775,1.1592,1.2244,1.1087,0.67055,1.22,1.0397,0.8631,0.76249,0.58433,0.5187,0.60286,0.598,0.12781,0.13856,0.18193,0.14209,0.039909,0.014714,,31.17333333,31.33833333,31.45666667,31.43333333,31.41666667,31.385,31.27833333,31.055,30.65666667,30.49166667,30.59666667,,22.29423077,21.57115385,21.46269231,21.42807692,21.42153846,21.28923077,21.16769231,21.05653846,20.90692308,20.81961538,20.80576923
,244,15,385.2 ,57.3 ,443.4 ,522.4 ,3.4833,30.032,14.031,132.61,128.15,-0.38644,,3.4833,2.8558,1.4348,0.55786,30.032,29.858,28.963,30.845,-0.14811,-0.22782,-0.37746,-0.22195,1.1599,1.3232,1.268,0.69856,1.1527,0.93319,0.77813,0.70274,0.608,0.54983,0.62872,0.65162,0.10851,0.11322,0.14183,0.11348,0.038372,0.017964,,31.05833333,31.27333333,31.34833333,31.33333333,31.34333333,31.355,31.28,31.06,30.67166667,30.56,30.645,,,,,,,,,,,,
,244,16,139.2 ,21.4 ,435.1 ,503.9 ,3.5606,29.624,14.964,50.347,71.858,-0.11254,,3.5606,2.8124,1.4796,0.63086,29.624,29.445,28.115,29.911,-0.17691,-0.23191,-0.28766,-0.14382,0.93685,1.1855,1.1415,0.65902,1.2192,0.96069,0.78817,0.50171,0.52646,0.53446,0.5922,0.65392,0.041196,0.054545,0.097009,0.07735,0.022262,0.011253,,30.16333333,30.23333333,30.25166667,30.25,30.26333333,30.21166667,30.14333333,29.985,29.72,29.61666667,29.585,,,,,,,,,,,,
,244,17,36.3 ,6.0 ,431.1 ,490.0 ,3.211,28.92,16.043,16.473,19.826,-0.025827,,3.211,2.3047,1.6519,0.95536,28.92,28.73,26.99,28.708,-0.22444,-0.20094,-0.1459,-0.14884,1.0326,1.0982,1.0893,0.90723,1.231,1.1414,1.0288,0.70776,0.48561,0.47531,0.48209,0.44581,0.013479,0.018686,0.029097,0.022149,0.0059769,0.0029454,,28.83166667,28.87333333,28.855,28.87166667,28.885,28.81,28.77333333,28.70833333,28.59333333,28.505,28.44,,,,,,,,,,,,
,244,18,1.3 ,0.6 ,423.8 ,479.8 ,3.4758,27.996,15.338,15.545,39.659,-0.049769,,3.4758,2.8594,2.4078,1.4949,27.996,27.779,25.859,27.516,-0.13973,-0.13914,-0.15679,-0.20464,0.93579,0.97296,1.0225,0.96668,0.89872,0.88155,0.8257,0.68745,0.45793,0.44572,0.48334,0.48771,0.01272,0.0099262,0.0060437,0.018171,0.012755,0.0089931,,27.70666667,27.8,27.775,27.77,27.78166667,27.70833333,27.69333333,27.65833333,27.58166667,27.51833333,27.45833333,,,,,,,,,,,,
,244,19,0.2 ,0.2 ,416.2 ,473.3 ,3.8569,27.324,15.134,2.7101,8.0085,-0.0089177,,3.8569,3.1403,2.53,1.5585,27.324,27.089,25.079,26.701,-0.1374,-0.13613,-0.15577,-0.23867,1.032,1.022,1.0553,1.0241,0.80422,0.828,0.79359,0.70501,0.46253,0.4749,0.51353,0.52377,0.0022175,-0.0027763,0.0062032,0.0019105,0.0025956,0.0021089,,26.90666667,26.985,26.975,26.97833333,26.97833333,26.91166667,26.92,26.90333333,26.85,26.8,26.74833333,,,,,,,,,,,,
,244,20,0.2 ,-0.1 ,412.9 ,469.6 ,3.119,27.077,15.639,-0.01152,13.441,0.000084363,,3.119,2.6492,2.2391,1.4317,27.077,26.837,24.789,26.388,-0.08065,-0.095932,-0.097579,-0.14159,0.72993,0.73494,0.81238,0.83443,0.80885,0.78645,0.70793,0.60887,0.38352,0.38373,0.40954,0.41935,-9.4259E-06,-0.0041322,-0.0011253,-0.00060917,0.0045406,0.0039607,,26.49333333,26.58666667,26.57166667,26.57,26.57833333,26.52666667,26.53833333,26.53833333,26.49,26.44666667,26.395,,,,,,,,,,,,
,244,21,0.2 ,-0.2 ,411.6 ,466.8 ,2.7692,26.915,16.448,-4.0161,0.30478,0.022994,,2.7692,2.2591,1.7709,1.0581,26.915,26.658,24.562,26.131,-0.095067,-0.076208,-0.066532,-0.10622,0.85431,0.79863,0.76332,0.73332,0.71058,0.65111,0.55885,0.46362,0.35949,0.35142,0.3717,0.35539,-0.0032861,-0.0078523,-0.0077993,-0.0072829,0.00028295,0.000092371,,26.00666667,26.155,26.15333333,26.17,26.19166667,26.15833333,26.185,26.20166667,26.17166667,26.14333333,26.09833333,,,,,,,,,,,,
,244,22,0.5 ,-0.1 ,409.7 ,464.2 ,1.8495,26.689,16.544,0.095898,1.2925,-0.0064164,,1.8495,1.6701,1.4787,0.86959,26.689,26.46,24.366,25.909,-0.01847,-0.033072,-0.04204,-0.057526,0.47803,0.4731,0.49441,0.5002,0.46971,0.47326,0.46947,0.40901,0.24124,0.23519,0.25457,0.26724,0.000078468,-0.0023191,-0.0046911,-0.0074982,0.00043164,0.00066293,,25.60166667,25.83833333,25.87666667,25.90666667,25.93666667,25.92666667,25.96833333,25.98,25.935,25.89666667,25.83833333,,,,,,,,,,,,
,244,23,0.7 ,-0.1 ,405.1 ,461.2 ,1.569,26.397,16.822,1.4646,1.2352,-0.11888,,1.569,1.4161,1.2731,0.81008,26.397,26.168,24.05,25.595,-0.016248,-0.02304,-0.031081,-0.036027,0.36325,0.40544,0.40933,0.4184,0.34765,0.34227,0.40926,0.39465,0.1852,0.18219,0.20408,0.20258,0.0011984,-0.0011276,-0.0017415,-0.0061655,0.00034918,0.000079789,,25.115,25.44666667,25.49666667,25.525,25.56333333,25.56333333,25.60833333,25.61666667,25.57166667,25.52833333,25.46666667,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,