0	7.2	26.8	19.22778	0	65	-2.5	1	1005.2	1009.2	"--"	29.3	22	26.4	65	4.3	"??"	"--"					
1	5.5	26.4	15.32399	0	66	-2.5	2	1004.8	1008.8	"--"	28.9	21.9	26.3	66	3.6	"??"	"--"					
2	6.4	26.3	12.47686	0	67	-2.3	3	1004.9	1008.9	"--"	28.6	21.9	26.3	67	4	"??"	"--"	1	15			
3	7.3	26.2	10.90232	0	66	-2.5	4	1004.9	1008.9	"--"	28.7	21.7	26	66	4	"??"	"--"					
4	7.7	26.2	11.01639	0	67	-2.2	5	1005.3	1009.3	"--"	28.4	21.7	26	67	3.4	"??"	"--"	0	"--"			
5	4.4	25.9	14.25435	61.1111111111	68	-2.5	6	1005.7	1009.7	"--"	28.4	21.9	26.3	68	4.2	"??"	0.8	0.22	"--"	0	30	
6	6.1	25.9	23.04709	241.6666666667	58	-4	7	1005.7	1009.7	"--"	29.9	20.7	24.4	58	4.2	"??"	1	0.87	"--"			
7	7.1	26.8	37.88587	441.6666666667	54	-4.2	8	1005.5	1009.5	"--"	31	20.6	24.3	54	4.1	"??"	1	1.59	"--"			
8	4.3	27.7	50.80559	622.2222222222	48	-4.9	9	1005.5	1009.5	"--"	32.6	20.2	23.7	48	5.6	"??"	1	2.24	"--"	"--"	0	30
9	5.1	28.5	78.39095	766.6666666667	45	-4.8	10	1005.3	1009.3	"--"	33.3	19.8	23.1	45	5.5	"??"	1	2.76	"--"			
10	5.5	29.4	97.40973	869.4444444444	40	-4.5	11	1004.8	1008.8	"--"	33.9	18.4	21.2	40	4.8	"??"	1	3.13	"--"			
11	5.1	30.1	102.41	916.6666666667	37	-4.7	12	1004.4	1008.3	"--"	34.8	18	20.6	37	5.5	"??"	1	3.3	"--"	0	30	
12	8.3	30.4	100.4375	897.2222222222	36	-4.4	13	1003.8	1007.7	"--"	34.8	17.5	20	36	5.4	"???"	1	3.23	"--"			
13	9.2	31.1	99.42878	830.5555555556	40	-3.2	14	1003.5	1007.5	"--"	34.3	18.8	21.7	40	6.5	"??"	1	2.99	"--"			
14	11.6	30.1	101.6318	705.5555555556	48	-3.2	15	1003.1	1007.1	"--"	33.3	20.8	24.6	48	7.7	"??"	1	2.54	"--"	"--"	1	30
15	9.9	29.9	104.9484	544.4444444444	48	-3.2	16	1002.9	1006.9	"--"	33.1	20.6	24.3	48	7.1	"??"	1	1.96	"--"			
16	11	29.5	103.2401	350	52	-3	17	1003	1007	"--"	32.5	21.4	25.5	52	7.6	"??"	1	1.26	"--"			
17	11.6	28.9	107.1738	155.5555555556	56	-2.5	18	1003.3	1007.3	"--"	31.4	21.6	25.8	56	6.5	"??"	1	0.56	"--"	1	15	
18	11.9	28.1	95.77986	16.6666666667	59	-2.1	19	1003.8	1007.8	"--"	30.2	21.3	25.3	59	7.3	"??"	0.3	0.06	"--"			
19	12.3	27.2	75.52512	0	61	-2.4	20	1004.4	1008.4	"--"	29.6	21.3	25.3	61	5.5	"??"	0	"--"				
20	11.4	26.8	57.78432	0	62	-2.7	21	1004.7	1008.7	"--"	29.5	21.4	25.5	62	7.3	"??"	"--"	"--"	0	20		
21	8.5	26.6	50.21478	0	63	-2.5	22	1004.8	1008.8	"--"	29.1	21.3	25.3	63	7.1	"??"	"--"					
22	10	26.2	34.31791	0	64	-2.6	23	1004.8	1008.8	"--"	28.8	21.3	25.3	64	6.7	"??"	"--"					
23	9.7	26.1	27.74343	0	62	-2.8	24	1005	1009	"--"	28.9	20.9	24.7	62	5.8	"??"	"--"					
24	9.5	26.2	19.22778	0	63	-2.3	1	1005.1	1009.1	"--"	28.5	20.8	24.6	63	4.9	"??"	"--"					
25	10.5	26	15.32399	0	64	-2.2	2	1005.1	1009.1	"--"	28.2	20.7	24.4	64	5.4	"??"	"--"					
26	8.5	25.7	12.47686	0	63	-2.5	3	1005.1	1009.1	"--"	28.2	20.5	24.1	63	4.8	"??"	"--"	0	20			
27	9.6	25.8	10.90232	0	64	-2.3	4	1005.3	1009.3	"--"	28.1	20.6	24.3	64	4.1	"??"	"--"					
28	9	25.6	11.01639	0	65	-2.4	5	1005.4	1009.4	"--"	28	20.8	24.6	65	5.5	"??"	"--"	0	"--"			
29	9.2	25.6	14.25435	66.6666666667	65	-2.6	6	1005.9	1009.9	"--"	28.2	21	24.9	65	4.8	"??"	0.9	0.24	"--"	1	20	
30	9	25.4	23.04709	241.6666666667	64	-3.7	7	1006	1010	"--"	29.1	21.6	25.8	64	4.6	"??"	1	0.87	"--"			
31	8.7	25.9	37.88587	438.8888888889	59	-4.6	8	1006	1010	"--"	30.5	21.6	25.8	59	5.3	"??"	1	1.58	"--"			
32	9.8	26.7	50.80559	616.6666666667	54	-5	9	1005.9	1009.9	"--"	31.7	21.2	25.2	54	5.5	"??"	1	2.22	"--"	"--"	2	30
33	7.8	27.8	78.39095	763.8888888889	50	-4.9	10	1005.6	1009.6	"--"	32.7	20.9	24.7	50	5.4	"??"	1	2.75	"--"			
34	10.1	28.3	97.40973	863.8888888889	50	-4.6	11	1005.1	1009.1	"--"	32.9	21.1	25	50	7.1	"??"	1	3.11	"--"			
35	11.2	28.7	102.41	891.6666666667	50	-4.7	12	1005.1	1009.1	"--"	33.4	21.6	25.8	50	5.6	"??"	1	3.21	"--"	1	30	
36	11.7	28.6	100.4375	891.6666666667	50	-4.9	13	1004.7	1008.7	"--"	33.5	21.6	25.8	50	7.7	"??"	1	3.21	"--"			
37	11.4	29	99.42878	813.8888888889	50	-4.5	14	1004.4	1008.4	"--"	33.5	21.6	25.8	50	7.4	"??"	1	2.93	"--"			
38	12.7	29.3	101.6318	694.4444444444	50	-3.7	15	1004.3	1008.3	"--"	33	21.2	25.2	50	8.7	"??"	1	2.5	"--"	"--"	1	30
39	10.7	29.5	104.9484	530.5555555556	51	-3.2	16	1004	1008	"--"	32.7	21.2	25.2	51	7.5	"??"	1	1.91	"--"			
40	11.8	29.2	103.2401	338.8888888889	53	-2.8	17	1003.8	1007.8	"--"	32	21.2	25.2	53	6.6	"??"	1	1.22	"--"			
41	13.5	28.5	107.1738	147.2222222222	56	-2.9	18	1004.4	1008.4	"--"	31.4	21.6	25.8	56	7.7	"??"	1	0.53	"--"	1	30	
42	9.2	28.1	95.77986	11.1111111111	59	-2.4	19	1004.8	1008.8	"--"	30.5	21.6	25.8	59	6.4	"??"	0.2	0.04	"--"			
43	9.2	27.4	75.52512	0	61	-2.7	20	1005.5	1009.5	"--"	30.1	21.7	26	61	6.6	"??"	0	"--"				
44	9.6	27.1	57.78432	0	63	-2.7	21	1006.3	1010.3	"--"	29.8	22	26.4	63	6.2	"??"	"--"	"--"	1	30		
45	9.7	26.9	50.21478	0	63	-2.6	22	1006.4	1010.4	"--"	29.5	21.7	26	63	5.7	"??"	"--"					
46	9.7	26.7	34.31791	0	63	-2.7	23	1006.4	1010.4	"--"	29.4	21.6	25.8	63	5.8	"??"	"--"					
47	9.7	26.7	27.74343	0	63	-2.4	24	1006.4	1010.4	"--"	29.1	21.3	25.3	63	5.6	"??"						
48	8.4	26.4	19.22778	0	64	-2.5	1	1006.5	1010.5	"--"	28.9	21.4	25.5	64	5.4	"??"	"--"					
49	8.2	26.2	15.32399	0	66	-2.5	2	1006.6	1010.6	"--"	28.7	21.7	26	66	4.9	"??"	"--"					
50	7.6	25.9	12.47686	0	66	-2.5	3	1006.7	1010.7	"--"	28.4	21.4	25.5	66	5.2	"??"	"--"	8	30			
51	7.1	25.8	10.90232	0	67	-2.5	4	1007	1011	"--"	28.3	21.6	25.8	67	5.8	"??"	"--"					
52	6.6	25.6	11.01639	0	67	-2.5	5	1007.4	1011.5	"--"	28.1	21.4	25.5	67	5.3	"??"	"--"	0	"--"			
53	8.9	25.5	14.25435	63.8888888889	67	-2.7	6	1007.6	1011.7	"--"	28.2	21.5	25.6	67	5.8	"??"	0.6	0.23	"--"	6	40	
54	8.5	25.5	23.04709	175	64	-3.7	7	1008.1	1012.1	"--"	29.2	21.7	26	64	5.6	"??"	0.7	0.63	"--"			
55	7.8	25.7	37.88587	430.5555555556	61	-4.7	8	1008.1	1012.1	"--"	30.4	22	26.4	61	5.6	"??"	1	1.55	"--"			
56	9.5	26.7	50.80559	619.4444444444	54	-4.7	9	1008.2	1012.2	"--"	31.4	21	24.9	54	6.3	"??"	1	2.23	"--"	"--"	1	30
57	10.1	27.5	78.39095	766.6666666667	50	-5.2	10	1008.3	1012.3	"--"	32.7	20.9	24.7	50	4.8	"??"	1	2.76	"--"			
58	8.8	28.4	97.40973	866.6666666667	47	-5.5	11	1007.7	1011.7	"--"	33.9	21	24.9	47	6	"??"	1	3.12	"--"			
59	10.1	29	102.41	913.8888888889	46	-4.5	12	1007.3	1011.3	"--"	33.5	20.3	23.8	46	6.9	"??"	1	3.29	"--"	1	20	
60	9.9	29.4	100.4375	897.2222222222	46	-4.5	13	1007	1011	"--"	33.9	20.7	24.4	46	6	"??"	1	3.23	"--"			
61	9.8	29.8	99.42878	822.2222222222	46	-4.2	14	1006.5	1010.5	"--"	34	20.7	24.4	46	6.2	"??"	1	2.96	"--"			
62	12.3	29.7	101.6318	700	46	-3.6	15	1006.2	1010.2	"--"	33.3	20.1	23.5	46	6.5	"??"	1	2.52	"--"	"--"	1	20
63	11.1	29.7	104.9484	533.3333333333	50	-2.9	16	1006.3	1010.3	"--"	32.6	20.8	24.6	50	6.3	"??"	1	1.92	"--"			
64	9.5	29.7	103.2401	341.6666666667	52	-2.6	17	1006.3	1010.3	"--"	32.3	21.2	25.2	52	6.9	"??"	1	1.23	"--"			
65	9.9	29.1	107.1738	147.2222222222	54	-2.5	18	1006.6	1010.6	"--"	31.6	21.2	25.2	54	6.8	"??"	1	0.53	"--"	1	20	
66	10.2	28.6	95.77986	11.1111111111	58	-1.9	19	1007	1011	"--"	30.5	21.3	25.3	58	5.2	"??"	0.2	0.04	"--"			
67	11	27.5	75.52512	0	61	-2.2	20	1007.5	1011.5	"--"	29.7	21.4	25.5	61	5.9	"??"	0	"--"				
68	10.2	27	57.78432	0	59	-2.7	21	1008	1012	"--"	29.7	20.8	24.6	59	5.6	"??"	"--"	"--"	0	20		
69	9.6	26.9	50.21478	0	62	-2.4	22	1008.1	1012.1	"--"	29.3	21.3	25.3	62	5.8	"??"	"--"					
70	10.2	26.6	34.31791	0	62	-2.6	23	1008.1	1012.1	"--"	29.2	21.2	25.2	62	6	"??"	"--"					
71	9.4	26.4	27.74343	0	63	-2.5	24	1007.9	1011.9	"--"	28.9	21.1	25	63	6.3	"??"	"--"					
72	10.4	26.2	19.22778	0	66	-2.3	1	1008	1012	"--"	28.5	21.5	25.6	66	5.8	"??"	"--"					
73	8.7	25.8	15.32399	0	66	-2.6	2	1008	1012	"--"	28.4	21.4	25.5	66	5.1	"??"	"--"					
74	9.2	25.9	12.47686	0	66	-2.3	3	1008.5	1012.6	"--"	28.2	21.2	25.2	66	5.1	"??"	"--"	0	20			
75	8.6	25.7	10.90232	0	68	-2.3	4	1008.7	1012.8	"--"	28	21.5	25.6	68	4	"??"	"--"					
76	7.3	25.6	11.01639	0	68	-2.3	5	1009.1	1013.2	"--"	27.9	21.4	25.5	68	4.1	"??"	"--"	0	"--"			
77	7.1	25.5	14.25435	61.1111111111	67	-2.7	6	1009.2	1013.3	"--"	28.2	21.5	25.6	67	3.9	"??"	0.8	0.22	"--"	1	30	
78	7.2	25.6	23.04709	238.8888888889	62	-4	7	1009.4	1013.4	"--"	29.6	21.5	25.6	62	3.9	"??"	1	0.86	"--"			
79	6.4	26.2	37.88587	438.8888888889	55	-4.9	8	1009.5	1013.5	"--"	31.1	21	24.9	55	3.7	"??"	1	1.58	"--"			
80	6	27.3	50.80559	622.2222222222	48	-4.5	9	1009.8	1013.8	"--"	31.8	19.4	22.5	48	4.1	"??"	1	2.24	"--"	"--"	1	40
81	6.6	28	78.39095	777.7777777778	48	-4.7	10	1009.4	1013.4	"--"	32.7	20.3	23.8	48	4	"??"	1	2.8	"--"			
82	7.1	28.5	97.40973	875	47	-4.7	11	1009.1	1013.1	"--"	33.2	20.4	24	47	4.9	"???"	1	3.15	"--"			
83	7.1	29.4	102.41	919.4444444444	45	-4.9	12	1008.8	1012.8	"--"	34.3	20.7	24.4	45	4.7	"??"	1	3.31	"--"	2	30	
84	6.8	30.1	100.4375	897.2222222222	45	-4.5	13	1008.3	1012.3	"--"	34.6	20.9	24.7	45	4	"??"	1	3.23	"--"			
85	8.2	30.5	99.42878	825	46	-4	14	1007.7	1011.7	"--"	34.5	21.2	25.2	46	2.6	"??"	1	2.97	"--"			
86	7.9	30.5	101.6318	697.2222222222	48	-3.3	15	1007.5	1011.5	"--"	33.8	21.3	25.3	48	4.1	"??"	1	2.51	"--"	"--"	2	30
87	5.3	31.1	104.9484	533.3333333333	51	-2.2	16	1007.1	1011.1	"--"	33.3	21.8	26.1	51	3.4	"???"	1	1.92	"--"			
88	6.1	30.8	103.2401	338.8888888889	52	-2.3	17	1007.1	1011.1	"--"	33.1	21.9	26.3	52	3.2	"??"	1	1.22	"--"			
89	6.3	30.2	107.1738	130.5555555556	54	-2.2	18	1007.7	1011.7	"--"	32.4	21.9	26.3	54	3.9	"??"	0.8	0.47	"--"	2	25	
90	5.5	29.8	95.77986	5.5555555556	57	-2.3	19	1007.9	1011.9	"--"	32.1	22.5	27.2	57	3.4	"??"	"--"	0.02	"--"			
91	5	29.1	75.52512	0	61	-2.1	20	1008.8	1012.8	"--"	31.2	22.8	27.8	61	1.8	"???"	0	"--"				
92	3.6	28.7	57.78432	0	62	-2	21	1009.3	1013.3	"--"	30.7	22.6	27.4	62	0.9	"??"	"--"	"--"	1	25		
93	2.8	28.2	50.21478	0	70	-1	22	1009.5	1013.5	"--"	29.2	23.2	28.4	70	3	"?"	"--"					
94	0.9	27.6	34.31791	0	74	-0.8	23	1009.5	1013.6	"--"	28.4	23.3	28.6	74	4.5	"???"	"--"					
95	4.7	26.1	27.74343	0	78	0.6	24	1009.8	1013.9	"--"	25.5	21.4	25.5	78	4.9	"???"	"--"					
96	4.4	23.8	19.22778	0	-1.3	1	1010.1	1014.2	"--"	25.1	21.4	25.5	80	3.6	"??"	"--"						
